topic_id,keyword,topic_label,topic_desc
41,"['kelapa sawit', 'kelapa', 'pemanfaatan limbah', 'biomassa', 'berkelanjutan indonesia', 'residu', 'air bersih', 'proses produksi', 'ramah lingkungan', 'polusi']",Pemanfaatan Limbah Kelapa Sawit untuk Keberlanjutan Lingkungan,"Topik ini berfokus pada penelitian dan pengabdian masyarakat yang berkaitan dengan pemanfaatan limbah dari industri kelapa sawit, seperti tandan kosong dan pelepah, untuk berbagai aplikasi yang ramah lingkungan. Penelitian mencakup pengembangan komposit berbasis limbah untuk pemisahan minyak, pencegahan browning dalam eksplan kelapa sawit, serta integrasi serat limbah untuk pengolahan limbah cair. Tujuannya adalah meningkatkan keberlanjutan industri kelapa sawit di Indonesia dengan mengurangi polusi dan memanfaatkan biomassa untuk menghasilkan produk yang lebih bersih dan efisien."
42,"['obesitas', 'pola makan', 'remaja', 'berat', 'anak usia', 'makanan', 'pangan', 'beta', 'makan', 'remaja kota']",Pengaruh Nutrisi dan Pola Makan terhadap Status Gizi Remaja,"Topik ini membahas tentang hubungan antara pola makan dan status gizi pada remaja, dengan fokus pada dampak makanan dan nutrisi terhadap kesehatan dan berat badan remaja di lingkungan perkotaan. Penelitian mencakup analisis efek nutrisi spesifik seperti moringa oleifera dan royal jelly, serta perbedaan dalam status gizi berdasarkan faktor seperti chronotype dan tempat tinggal (asrama vs non-asrama)."
43,"['learning meningkatkan kemampuan', 'berbasis pembelajaran', 'pembelajaran berdiferensiasi', 'learning meningkatkan', 'berbasis android meningkatkan', 'meningkatkan kemampuan berpikir', 'pengembangan aplikasi', 'interaktif', 'siswa implementasi', 'pembelajaran']",Pengembangan Aplikasi Pembelajaran Interaktif Berbasis Game untuk Meningkatkan Kemampuan Siswa,"Topik ini mencakup penelitian dan pengabdian masyarakat yang berfokus pada pengembangan aplikasi pembelajaran berbasis game dan teknologi mobile untuk meningkatkan kemampuan berpikir dan kognitif siswa. Pendekatan pembelajaran berdiferensiasi dan interaktif digunakan untuk mempromosikan pembelajaran yang efektif, termasuk melalui media permainan yang terintegrasi dengan budaya lokal dan berorientasi pada pengembangan profil pelajar Pancasila."
44,"['implementasi kurikulum', 'penerapan kurikulum', 'implementasi kurikulum merdeka', 'mengajar', 'kurikulum', 'kurikulum merdeka', 'pendidikan', 'belajar pengembangan', 'sekolah dasar', 'sekolah']",Implementasi Kurikulum Merdeka dan Transformasi Pendidikan di Sekolah Dasar,"Topik ini membahas penerapan Kurikulum Merdeka di sekolah dasar, dengan fokus pada pengembangan profesionalisme guru melalui program guru penggerak, kolaborasi antar guru, dan inovasi manajemen pendidikan. Penelitian ini mengeksplorasi bagaimana kurikulum baru ini mengubah metode pengajaran dan pembelajaran, serta dampaknya terhadap kompetensi guru dan jaringan kolaboratif di tingkat lokal."
45,"['air sungai', 'daerah aliran sungai', 'air bersih', 'aliran sungai', 'water', 'perairan', 'sungai', 'daerah aliran', 'danau', 'aliran']",Pengelolaan dan Pemantauan Kualitas Air Sungai,"Topik ini mencakup penelitian dan pengabdian masyarakat terkait dengan pengelolaan, pemantauan, dan optimasi proses pengolahan air sungai untuk memastikan ketersediaan air bersih, melibatkan teknologi seperti elektrokoagulasi dan sistem pemantauan kualitas air, serta pengenalan pola status baku mutu air di daerah aliran sungai dan sekitarnya."
46,"['entrepreneurship', 'kewirausahaan', 'entrepreneurial', 'berwirausaha', 'entrepreneur', 'ecopreneurship', 'wirausaha', 'mahasiswa universitas', 'kurikulum pendidikan', 'pendidikan']",Pengembangan Ekosistem Kewirausahaan di Perguruan Tinggi,"Topik ini berfokus pada upaya untuk meningkatkan niat dan kemampuan berwirausaha di kalangan mahasiswa universitas melalui pengembangan ekosistem kewirausahaan yang komprehensif. Ini mencakup analisis peran pendidikan kewirausahaan, sikap berwirausaha, kompetensi emosional, dan dukungan institusional dalam membangun intensi berwirausaha yang kuat. Penelitian ini menyoroti pentingnya kurikulum pendidikan yang mendukung serta peran universitas dalam memfasilitasi pertumbuhan kewirausahaan di kalangan mahasiswa."
47,"['siswa sekolah dasar', 'siswa sekolah', 'perilaku', 'anak berbasis', 'sekolah dasar', 'model edukasi', 'remaja', 'sekolah menengah', 'sekolah dasar pengembangan', 'sekolah menengah atas']",Pengembangan Model Edukasi dan Konseling untuk Mengatasi Bullying di Sekolah,"Topik ini berfokus pada pengembangan model edukasi dan konseling untuk mengatasi perilaku bullying di lingkungan sekolah, khususnya bagi siswa sekolah dasar dan menengah. Melalui pendekatan berbasis nilai budaya dan teknik manajemen diri, penelitian ini bertujuan untuk meningkatkan resiliensi siswa yang menjadi korban bullying, serta mengurangi trauma yang dialami. Model bimbingan dan konseling yang dikembangkan juga mempertimbangkan nilai-nilai lokal dan budaya untuk mempromosikan perilaku positif di kalangan remaja."
48,"['kualitas hidup pasien', 'kepatuhan pengobatan', 'hidup pasien', 'hipertensi', 'kualitas hidup', 'perawatan', 'pengobatan', 'pasien', 'therapy', 'obat']",Peningkatan Kualitas Hidup Pasien Hipertensi Melalui Kepatuhan Pengobatan,"Topik ini membahas berbagai pendekatan dan intervensi untuk meningkatkan kualitas hidup pasien, khususnya mereka yang menderita hipertensi, dengan menekankan pentingnya kepatuhan terhadap pengobatan. Penelitian dalam topik ini mengeksplorasi penggunaan teknologi, seperti aplikasi berbasis Android, serta pendekatan biopsikososial dan intervensi yang disesuaikan untuk meningkatkan kepatuhan pasien terhadap terapi dan pengobatan, yang pada akhirnya mengurangi kejadian rawat inap berulang dan meningkatkan kualitas hidup secara keseluruhan."
49,"['pengembangan model pembelajaran', 'model pembelajaran berbasis', 'pembelajaran berbasis', 'model pembelajaran', 'meningkatkan hasil belajar', 'based learning berbasis', 'learning model', 'pembelajaran berdiferensiasi', 'pelajar pancasila pengembangan', 'based learning']",Pengembangan Model Pembelajaran Berbasis untuk Meningkatkan Profil Pelajar Pancasila,"Topik ini berfokus pada pengembangan dan penerapan berbagai model pembelajaran berbasis, seperti resource based learning dan pembelajaran berdiferensiasi, untuk meningkatkan hasil belajar dan ketercapaian profil pelajar Pancasila. Penelitian ini mencakup inovasi dalam metode pembelajaran yang dirancang untuk mendukung implementasi kurikulum merdeka di satuan pendidikan dasar dan menengah."
50,"['perbankan syariah', 'syariah', 'islam', 'muslim', 'indonesia analisis', 'pengelolaan keuangan', 'indonesia', 'inklusi keuangan', 'kinerja keuangan', 'perbankan']",Analisis Kinerja dan Inklusi Keuangan Perbankan Syariah di Indonesia,"Topik ini membahas berbagai aspek dari perbankan syariah di Indonesia, termasuk analisis perilaku nasabah, faktor-faktor yang mempengaruhi keputusan penggunaan, serta penguatan dewan pengawas syariah. Fokus utama adalah pada pengelolaan keuangan berdasarkan prinsip maqasid syariah, literasi dan inklusi keuangan Islam, serta deteksi dini kecurangan laporan keuangan."
51,"['membran', 'biokomposit', 'kimia', 'komposit', 'sintesis', 'aromatik', 'nanopartikel', 'limbah kulit', 'nanofiber', 'nanokristal']",Pengembangan dan Karakterisasi Membran Biokomposit untuk Aplikasi Lingkungan dan Kesehatan,"Topik ini mencakup penelitian terkait sintesis dan karakterisasi membran biokomposit yang memanfaatkan bahan-bahan seperti nanopartikel, nanokristal, dan nanofiber. Fokus utama adalah pada pengembangan membran dengan sifat khusus seperti antifouling dan kemampuan adsorpsi, yang digunakan dalam aplikasi seperti hemodialisis dan pemisahan senyawa aromatik. Penelitian ini juga memanfaatkan limbah kulit dan bahan kimia lainnya untuk meningkatkan keberlanjutan dan efisiensi dalam proses pemisahan dan pengolahan limbah farmasi."
52,"['infeksi', 'disease', 'genomik', 'imun', 'pandemi', 'sequencing', 'genome', 'penyebab', 'antiinflamasi', 'sapi']",Penelitian Genomik dan Epidemiologi Penyakit Menular pada Hewan dan Manusia,"Topik ini mencakup penelitian tentang infeksi dan penyakit menular yang mempengaruhi manusia dan hewan, dengan fokus pada analisis genomik dan epidemiologi molekuler. Penelitian ini melibatkan pemetaan virus, identifikasi faktor risiko penularan, dan penggunaan metode sequencing untuk menganalisis genom virus. Tujuannya adalah untuk memahami penyebab penyakit, mencegah resistensi vaksin, dan mengembangkan strategi antiinflamasi yang efektif selama pandemi."
53,"['halal', 'tourism', 'wisatawan', 'wisata', 'berkelanjutan indonesia', 'berkelanjutan melalui', 'kota surakarta', 'kota padangsidimpuan', 'perspektif', 'holistik']",Pengembangan Pariwisata Halal Berkelanjutan di Indonesia,"Topik ini membahas tentang pariwisata halal dan upaya pengembangannya secara berkelanjutan di Indonesia, dengan fokus pada kota-kota seperti Surakarta dan Padangsidimpuan. Kajian ini melibatkan perspektif holistik untuk memahami bagaimana wisatawan dapat menikmati wisata yang sesuai dengan prinsip halal, serta bagaimana model pariwisata halal dapat dikembangkan melalui atribut-atribut yang mendukung keberlanjutan."
54,"['sapi', 'peternakan', 'budidaya', 'ketahanan pangan', 'kambing', 'berkelanjutan berbasis', 'breeding', 'ekonomi rumah tangga', 'hewani', 'ekonomi rumah']",Pengembangan Peternakan Berkelanjutan untuk Ketahanan Pangan dan Ekonomi Rumah Tangga,"Topik ini berfokus pada pengembangan dan pengelolaan peternakan sapi dan kambing yang berkelanjutan, dengan tujuan meningkatkan ketahanan pangan dan memperkuat ekonomi rumah tangga. Melalui pendekatan seperti kemitraan usaha berbasis wakaf produktif, integrasi agroforestry, dan peningkatan kualitas pakan, penelitian ini bertujuan untuk mendukung swasembada daging dan memperkuat sektor ekonomi hewani di Indonesia."
55,"['media sosial', 'melalui media', 'media digital', 'media', 'mediasi', 'sosial', 'publik', 'berbasis digital', 'era digital', 'online']",Dampak Media Sosial dan Digitalisasi pada Komunikasi Publik,"Topik ini mengeksplorasi peran dan pengaruh media sosial serta platform digital dalam membentuk wacana publik, termasuk analisis tren, penyebaran informasi palsu, dan perubahan dalam komunikasi politik dan budaya di era digital."
56,"['ikan nila', 'ikan', 'ikan bandeng', 'ikan patin', 'tepung', 'kacang', 'protein', 'tumbuhan', 'enzim', 'daging']",Peningkatan Pertumbuhan dan Efisiensi Pakan Ikan Melalui Inovasi Bahan Pakan,"Topik ini membahas penelitian dan pengabdian masyarakat terkait pengembangan pakan ikan dengan fokus pada peningkatan pertumbuhan dan efisiensi pakan ikan seperti ikan nila, ikan bandeng, dan ikan patin. Inovasi dilakukan dengan memanfaatkan bahan-bahan seperti tepung kacang, enzim, dan sumber protein dari tumbuhan serta daging. Penelitian ini mencakup analisis substitusi bahan pakan, penggunaan enzim untuk meningkatkan kecernaan dan efisiensi pakan, serta pengaruhnya terhadap pertumbuhan ikan."
57,"['halal', 'perilaku konsumen', 'konsumen', 'papua barat', 'berkelanjutan melalui', 'industri', 'sertifikasi', 'brand', 'produk', 'usaha mikro']",Implementasi Sertifikasi Halal dan Perilaku Konsumen di Papua Barat,"Topik ini membahas tentang strategi dan model untuk mempercepat implementasi sertifikasi halal di Papua Barat, dengan fokus pada perilaku konsumen, literasi halal, dan pengembangan usaha mikro. Penelitian berfokus pada bagaimana sertifikasi halal dapat diintegrasikan dalam industri lokal untuk meningkatkan kesadaran dan konsumsi produk halal, serta mendukung keberlanjutan ekonomi melalui program seperti One Subdistrict One Centre Halal Product (OSOP)."
